
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-13 14:36:24 /themes/default/css/custom.css ....................................................... ~ 5.07ms
  2026-05-13 14:36:24 /themes/default/js/customScript.js ................................................... ~ 7.30ms
  2026-05-13 14:36:24 /themes/default/css/style.css ........................................................ ~ 9.61ms
  2026-05-13 14:36:24 /themes/default/js/installer.js ...................................................... ~ 9.80ms
  2026-05-13 14:36:24 /themes/default/images/bg/installer.jpg .............................................. ~ 0.16ms
  2026-05-13 14:36:24 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.20ms
  2026-05-13 14:36:24 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.54ms
  2026-05-13 14:36:24 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 3.24ms
  2026-05-13 14:36:24 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 4.69ms
  2026-05-13 14:36:24 /favicon.ico ......................................................................... ~ 0.32ms
  2026-05-13 14:36:26 /install/requirement ............................................................... ~ 512.97ms
  2026-05-13 14:36:26 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.25ms
  2026-05-13 14:36:26 /themes/default/fonts/typography/public/public.css ................................... ~ 1.48ms
  2026-05-13 14:36:26 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.78ms
  2026-05-13 14:36:26 /themes/default/css/custom.css ....................................................... ~ 2.66ms
  2026-05-13 14:36:26 /themes/default/css/style.css ........................................................ ~ 5.89ms
  2026-05-13 14:36:26 /themes/default/js/customScript.js ................................................... ~ 6.31ms
  2026-05-13 14:36:26 /themes/default/js/installer.js ...................................................... ~ 7.91ms
  2026-05-13 14:36:26 /themes/default/images/bg/installer.jpg .............................................. ~ 0.14ms
  2026-05-13 14:36:26 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.22ms
  2026-05-13 14:36:26 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.30ms
  2026-05-13 14:36:26 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 2.38ms
  2026-05-13 14:36:26 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 2.34ms
  2026-05-13 14:36:26 /favicon.ico ......................................................................... ~ 0.17ms
  2026-05-13 14:36:27 /install/permission ................................................................ ~ 513.86ms
  2026-05-13 14:36:28 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.32ms
  2026-05-13 14:36:28 /themes/default/fonts/typography/public/public.css ................................... ~ 2.04ms
  2026-05-13 14:36:28 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.70ms
  2026-05-13 14:36:28 /themes/default/css/style.css ........................................................ ~ 4.88ms
  2026-05-13 14:36:28 /themes/default/css/custom.css ....................................................... ~ 4.85ms
  2026-05-13 14:36:28 /themes/default/js/customScript.js ................................................... ~ 6.49ms
  2026-05-13 14:36:28 /themes/default/js/installer.js ...................................................... ~ 6.43ms
  2026-05-13 14:36:28 /themes/default/images/bg/installer.jpg .............................................. ~ 0.15ms
  2026-05-13 14:36:28 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.41ms
  2026-05-13 14:36:28 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.64ms
  2026-05-13 14:36:28 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 0.13ms
  2026-05-13 14:36:28 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.18ms
  2026-05-13 14:36:28 /favicon.ico ......................................................................... ~ 0.30ms
  2026-05-13 14:36:29 /install/license ................................................................... ~ 512.41ms
  2026-05-13 14:36:29 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.32ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/public/public.css ................................... ~ 1.80ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.91ms
  2026-05-13 14:36:29 /themes/default/css/style.css ........................................................ ~ 3.99ms
  2026-05-13 14:36:29 /themes/default/css/custom.css ....................................................... ~ 4.07ms
  2026-05-13 14:36:29 /themes/default/js/customScript.js ................................................... ~ 0.17ms
  2026-05-13 14:36:29 /images/installer/active.png ......................................................... ~ 1.88ms
  2026-05-13 14:36:29 /themes/default/js/installer.js ...................................................... ~ 3.56ms
  2026-05-13 14:36:29 /themes/default/images/bg/installer.jpg .............................................. ~ 0.14ms
  2026-05-13 14:36:29 /images/installer/login.png ......................................................... ~ 10.88ms
  2026-05-13 14:36:29 /images/installer/home.png .......................................................... ~ 14.96ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.17ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.17ms
  2026-05-13 14:36:29 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.15ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.16ms
  2026-05-13 14:36:29 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 2.12ms
  2026-05-13 14:36:29 /favicon.ico ......................................................................... ~ 0.13ms
  2026-05-13 14:36:33 /install/license ................................................................... ~ 502.59ms
  2026-05-13 14:36:33 /install/site ........................................................................ ~ 0.20ms
  2026-05-13 14:36:34 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.22ms
  2026-05-13 14:36:34 /themes/default/fonts/typography/public/public.css ................................... ~ 1.50ms
  2026-05-13 14:36:34 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.30ms
  2026-05-13 14:36:34 /themes/default/css/style.css ........................................................ ~ 4.84ms
  2026-05-13 14:36:34 /themes/default/css/custom.css ....................................................... ~ 6.38ms
  2026-05-13 14:36:34 /themes/default/js/customScript.js ................................................... ~ 9.58ms
  2026-05-13 14:36:34 /themes/default/js/installer.js ...................................................... ~ 9.62ms
  2026-05-13 14:36:34 /themes/default/images/bg/installer.jpg .............................................. ~ 0.14ms
  2026-05-13 14:36:34 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.13ms
  2026-05-13 14:36:34 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.17ms
  2026-05-13 14:36:34 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.44ms
  2026-05-13 14:36:34 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 2.53ms
  2026-05-13 14:36:34 /favicon.ico ......................................................................... ~ 0.23ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 14:37:23 /install/site ........................................................................ ~ 0.92ms
  2026-05-13 14:37:23 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.49ms
  2026-05-13 14:37:23 /themes/default/fonts/typography/public/public.css ................................... ~ 3.45ms
  2026-05-13 14:37:23 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 5.55ms
  2026-05-13 14:37:23 /themes/default/css/style.css ........................................................ ~ 7.08ms
  2026-05-13 14:37:23 /themes/default/css/custom.css ....................................................... ~ 6.13ms
  2026-05-13 14:37:23 /themes/default/js/customScript.js ................................................... ~ 7.94ms
  2026-05-13 14:37:23 /themes/default/js/installer.js ...................................................... ~ 8.03ms
  2026-05-13 14:37:23 /themes/default/images/bg/installer.jpg .............................................. ~ 0.37ms
  2026-05-13 14:37:23 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.27ms
  2026-05-13 14:37:23 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.76ms
  2026-05-13 14:37:23 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 2.09ms
  2026-05-13 14:37:23 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 3.32ms
  2026-05-13 14:37:23 /favicon.ico ......................................................................... ~ 0.52ms
  2026-05-13 14:37:25 /install/permission ................................................................ ~ 515.30ms
  2026-05-13 14:37:25 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.17ms
  2026-05-13 14:37:25 /themes/default/fonts/typography/public/public.css ................................... ~ 1.38ms
  2026-05-13 14:37:25 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.81ms
  2026-05-13 14:37:25 /themes/default/css/custom.css ....................................................... ~ 2.84ms
  2026-05-13 14:37:25 /themes/default/js/customScript.js ................................................... ~ 4.67ms
  2026-05-13 14:37:25 /themes/default/css/style.css ........................................................ ~ 7.65ms
  2026-05-13 14:37:25 /themes/default/js/installer.js ...................................................... ~ 8.79ms
  2026-05-13 14:37:25 /themes/default/images/bg/installer.jpg .............................................. ~ 0.20ms
  2026-05-13 14:37:25 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.22ms
  2026-05-13 14:37:25 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.27ms
  2026-05-13 14:37:25 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 2.26ms
  2026-05-13 14:37:25 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 3.50ms
  2026-05-13 14:37:25 /favicon.ico ......................................................................... ~ 0.13ms
  2026-05-13 14:37:26 /install/license ................................................................... ~ 510.84ms
  2026-05-13 14:37:26 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.21ms
  2026-05-13 14:37:26 /themes/default/fonts/typography/public/public.css ................................... ~ 1.51ms
  2026-05-13 14:37:26 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.09ms
  2026-05-13 14:37:26 /themes/default/css/style.css ........................................................ ~ 4.90ms
  2026-05-13 14:37:26 /themes/default/css/custom.css ....................................................... ~ 5.95ms
  2026-05-13 14:37:26 /images/installer/home.png ........................................................... ~ 8.10ms
  2026-05-13 14:37:26 /images/installer/login.png .......................................................... ~ 2.36ms
  2026-05-13 14:37:26 /themes/default/js/customScript.js ................................................... ~ 2.78ms
  2026-05-13 14:37:26 /themes/default/js/installer.js ...................................................... ~ 2.07ms
  2026-05-13 14:37:26 /images/installer/active.png ......................................................... ~ 6.61ms
  2026-05-13 14:37:26 /themes/default/images/bg/installer.jpg .............................................. ~ 0.29ms
  2026-05-13 14:37:27 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.22ms
  2026-05-13 14:37:27 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 1.90ms
  2026-05-13 14:37:27 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.62ms
  2026-05-13 14:37:27 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 2.70ms
  2026-05-13 14:37:27 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 4.38ms
  2026-05-13 14:37:27 /favicon.ico ......................................................................... ~ 0.19ms
  2026-05-13 14:37:36 /install/license ..................................................................... ~ 0.63ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 14:37:37 /install/site ...................................................................... ~ 504.33ms
  2026-05-13 14:37:37 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.25ms
  2026-05-13 14:37:37 /themes/default/fonts/typography/public/public.css ................................... ~ 0.14ms
  2026-05-13 14:37:37 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 1.32ms
  2026-05-13 14:37:37 /themes/default/css/style.css ........................................................ ~ 2.47ms
  2026-05-13 14:37:37 /themes/default/css/custom.css ....................................................... ~ 4.10ms
  2026-05-13 14:37:37 /themes/default/js/customScript.js ................................................... ~ 4.84ms
  2026-05-13 14:37:37 /themes/default/js/installer.js ...................................................... ~ 6.61ms
  2026-05-13 14:37:37 /themes/default/images/bg/installer.jpg .............................................. ~ 0.13ms
  2026-05-13 14:37:37 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.20ms
