
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-15 03:07:45 /storage/69/conversions/MANGO-FROOTI-RECIPE,-HOMEMADE-MANGO-FROOTI-RECIPE-WITH-STEP-BY-STEP-PHOTOS-,-HOW-TO-MANGO-FROOTI-AT-HOME-,-HOMEMADE-MANGO-SQUASH-cover.jpg  ~ 517.28ms
  2026-05-15 03:07:45 /api/frontend/item-category/show/iced-tea ................................................ ~ 1s
  2026-05-15 03:07:45 /storage/58/conversions/Sparkling-Limoncello-Mocktail-cover.jpg .......................... ~ 1s
  2026-05-15 03:07:46 /api/frontend/item-category/show/fruit-shots ....................................... ~ 506.27ms
  2026-05-15 03:07:46 /api/frontend/cookies .............................................................. ~ 512.16ms
  2026-05-15 03:07:46 /api/frontend/country-code/show/GBR .................................................. ~ 0.22ms
  2026-05-15 03:07:46 /api/frontend/device-token/web ..................................................... ~ 508.57ms
  2026-05-15 03:07:46 /storage/26/english.png .................................................................. ~ 1s
  2026-05-15 03:07:47 /api/frontend/item-category/show/iced-tea ................................................ ~ 1s
  2026-05-15 03:07:46 /storage/28/german.png ................................................................... ~ 1s
  2026-05-15 03:07:47 /api/frontend/item-category/show/fruit-shots ....................................... ~ 512.95ms
  2026-05-15 03:07:47 /firebase-messaging-sw.js ............................................................ ~ 2.21ms
  2026-05-15 03:07:48 /storage/30/kahumbo-logo.-2.png ...................................................... ~ 3.33ms
  2026-05-15 03:07:48 /storage/96/conversions/golden-mango-bliss-thumb.png ................................. ~ 6.13ms
  2026-05-15 03:07:48 /storage/32/kahumbo-logo-white.png ................................................... ~ 7.82ms
  2026-05-15 03:07:48 /storage/98/conversions/strawverry-bliss-thumb.png .................................. ~ 10.26ms
  2026-05-15 03:07:48 /storage/58/conversions/Sparkling-Limoncello-Mocktail-thumb.jpg ...................... ~ 8.87ms
  2026-05-15 03:07:48 /storage/54/conversions/kit-kat-shake-thumb.jpg ...................................... ~ 7.43ms
  2026-05-15 03:07:48 /storage/100/conversions/strawberry-mojito-thumb.png ................................. ~ 9.55ms
  2026-05-15 03:07:48 /storage/69/conversions/MANGO-FROOTI-RECIPE,-HOMEMADE-MANGO-FROOTI-RECIPE-WITH-STEP-BY-STEP-PHOTOS-,-HOW-TO-MANGO-FROOTI-AT-HOME-,-HOMEMADE-MANGO-SQUASH-thumb.jpg  ~ 9.58ms
  2026-05-15 03:07:48 /storage/71/conversions/Master-Kong-Lemon-Iced-Tea-Drink,-500ml-cover.jpg ............ ~ 6.04ms
  2026-05-15 03:07:48 /storage/70/conversions/Spiked-Peach-Iced-Tea_-Sweet-tea-with-a-boozy-kick_-cover.jpg  ~ 3.57ms
  2026-05-15 03:07:48 /storage/101/conversions/green-tea-cover.png ......................................... ~ 2.51ms
  2026-05-15 03:07:48 /storage/84/conversions/Sakura-Lychee-Fizz-_-Sift-&-Simmer-cover.jpg ................. ~ 4.02ms
  2026-05-15 03:07:48 /storage/83/conversions/Guava-Spicy-Shot-cover.jpg ................................... ~ 4.25ms
  2026-05-15 03:07:48 /storage/82/conversions/Guava-Spicy-Shot-cover.jpg ................................... ~ 5.98ms
  2026-05-15 03:07:48 /storage/81/conversions/Jamun-Shot-(1)-cover.jpg ..................................... ~ 7.01ms
  2026-05-15 03:07:48 /storage/86/conversions/Falsa-Sharbat-I-How-To-make-Phalse-Ka-Sharbat- video-cover.jpg  ~ 507.45ms
  2026-05-15 03:07:48 /storage/80/conversions/Strawberry-Dirty-Sprite-_-A-Sweet-Summer-Sip---recipezed-cover.jpg  ~ 515.24ms
  2026-05-15 03:07:48 /storage/79/conversions/Delicious-Kiwi-Caipirinha-Drink-cover.jpg .................. ~ 512.37ms
  2026-05-15 03:07:48 /storage/78/conversions/Paan-Shot-cover.jpg ........................................ ~ 511.40ms
  2026-05-15 03:07:48 /storage/31/kahumbo-logo-(1).png ..................................................... ~ 0.13ms
  2026-05-15 03:09:42 /themes/default/fonts/typography/public/PublicSans-Regular.ttf ....................... ~ 0.99ms
  2026-05-15 03:09:42 /api/frontend/social-login ......................................................... ~ 501.72ms
  2026-05-15 03:09:42 /storage/25/google.png ............................................................... ~ 0.16ms
  2026-05-15 03:09:51 /api/auth/login .................................................................... ~ 503.50ms
  2026-05-15 03:09:52 /storage/33/IMG_1625.JPG.jpeg ........................................................ ~ 0.21ms
  2026-05-15 03:09:52 /api/frontend/order ................................................................ ~ 502.81ms
  2026-05-15 03:09:52 /storage/103/conversions/chocolate-shakes-thumb.png ................................ ~ 506.23ms
  2026-05-15 03:09:52 /storage/104/conversions/coffee-thumb.png .......................................... ~ 508.02ms
  2026-05-15 03:09:52 /storage/105/conversions/fruit-shots-thumb.png ..................................... ~ 510.01ms
  2026-05-15 03:09:52 /storage/47/conversions/Please-provide-the-original-Pinterest-title-you-want-me-to-reformat_-thumb.jpg  ~ 511.76ms
  2026-05-15 03:09:52 /api/frontend/item/featured-items .................................................... ~ 0.16ms
  2026-05-15 03:09:52 /api/frontend/item/popular-items ................................................... ~ 508.07ms
  2026-05-15 03:09:52 /storage/42/conversions/Lemon-Ice-Tea-1-thumb.jpg .................................. ~ 516.02ms
  2026-05-15 03:09:53 /api/frontend/offer ...................................................................... ~ 1s
  2026-05-15 03:09:53 /api/frontend/item-category .......................................................... ~ 0.38ms
  2026-05-15 03:09:53 /storage/96/conversions/golden-mango-bliss-cover.png ............................... ~ 510.01ms
  2026-05-15 03:09:52 /storage/34/slide-0.jpg .................................................................. ~ 1s
  2026-05-15 03:09:53 /storage/98/conversions/strawverry-bliss-cover.png ................................... ~ 9.17ms
  2026-05-15 03:09:54 /storage/58/conversions/Sparkling-Limoncello-Mocktail-cover.jpg ...................... ~ 7.43ms
  2026-05-15 03:09:54 /storage/69/conversions/MANGO-FROOTI-RECIPE,-HOMEMADE-MANGO-FROOTI-RECIPE-WITH-STEP-BY-STEP-PHOTOS-,-HOW-TO-MANGO-FROOTI-AT-HOME-,-HOMEMADE-MANGO-SQUASH-cover.jpg  ~ 8.65ms
  2026-05-15 03:09:54 /storage/54/conversions/kit-kat-shake-cover.jpg ...................................... ~ 9.69ms
  2026-05-15 03:09:54 /storage/100/conversions/strawberry-mojito-cover.png ................................. ~ 9.94ms
  2026-05-15 03:09:54 /storage/62/conversions/download-(2)-cover.jpg ....................................... ~ 7.84ms
  2026-05-15 03:09:54 /storage/102/conversions/masala-tea-cover.png ........................................ ~ 6.14ms
  2026-05-15 03:09:54 /storage/44/conversions/hoptionb-img7-thumb.png ...................................... ~ 2.26ms
  2026-05-15 03:09:54 /storage/48/conversions/Capture-thumb.JPG ............................................ ~ 0.19ms
  2026-05-15 03:09:54 /storage/45/conversions/Unique-Mocktails-thumb.png ................................... ~ 0.21ms
  2026-05-15 03:09:54 /storage/43/conversions/Strawberry-Juice-thumb.jpg ................................... ~ 2.02ms
  2026-05-15 03:09:54 /api/frontend/item-category/show/iced-tea .......................................... ~ 506.00ms
  2026-05-15 03:09:54 /api/frontend/item-category/show/fruit-shots ....................................... ~ 502.72ms
  2026-05-15 03:09:54 /images/category/thumb.png ............................................................... ~ 1s
  2026-05-15 03:09:54 /api/frontend/item-category/show/iced-tea ............................................ ~ 0.17ms
  2026-05-15 03:09:54 /storage/96/conversions/golden-mango-bliss-thumb.png ............................... ~ 510.90ms
  2026-05-15 03:09:55 /api/frontend/item-category/show/fruit-shots ....................................... ~ 507.71ms
